,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713524463_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about a character based on details in a passage.,1,95,89,6,Key Ideas and Details,Literature
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713480754_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Make an inference about a character based on details in a passage.,1,90,88,2,Key Ideas and Details,Literature
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713476495_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Determine and compare the narrators’ views on a topic in two passages.,1,87,80,7,Key Ideas and Details,Literature
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713449204_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the similarity in the settings of two different passages.,1,86,79,7,Craft and Structure,Literature
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713350461_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze and compare how specific details contribute to characterization in different passages.,1,92,87,5,Key Ideas and Details,Literature
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713525312_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.1,SR,LA,L.PK-12.1,Identify parts of speech as used in sentences.,1,83,59,24,Conventions,Literature
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713367461_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Identify and compare the authors’ use of literary techniques in different passages.,2,87,78,9,Craft and Structure,Literature
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713526564_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the effect of similar stylistic choices in different passages.,2,79,65,14,Craft and Structure,Literature
8,2019,9,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL713447252_ePAT,ES,-,-,Write an essay comparing the impact of sensory details on mood in excerpts from three different passages; use evidence from each passage to support the analysis.,8,68,65,3,WR Combined (Conv/Idea Dev),Literature
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL702544597,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine an author’s purpose for including a specific section of an excerpt.,1,89,78,11,Craft and Structure,Informational
10,2019,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL702537404,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine which claim is supported by evidence from two different excerpts.,1,86,80,6,Craft and Structure,Informational
11,2019,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL700380367,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Contrast the types of evidence used to support and develop claims in two excerpts.,1,83,70,13,Integration of Knowledge and Ideas,Informational
12,2019,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL700559402,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine and compare the points of view of the authors of two excerpts on a similar topic.,1,84,79,5,Craft and Structure,Informational
13,2019,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL702538198,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze the effect of figurative language in excerpts on similar topics.,1,97,86,11,Craft and Structure,Informational
14,2019,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL700382233,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Analyze the purpose of punctuation in a paragraph.,1,97,90,7,Conventions,Informational
15,2019,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL702547088,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify evidence from two different excerpts to support and develop a claim.,2,70,59,11,Craft and Structure,Informational
