,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA302104,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-APR.A.1,SR,AF,AI.A-APR.A.1,Multiply two polynomial expressions.,1,95,89,6,Algebra,Arithmetic with Polynomials and Rational Expressions,"Understand that polynomials form a system analogous to the integers, namely, they are closed under
certain operations. "
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA713469914,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.A.2,SR,AF,AI.F-IF.A.2,Evaluate a quadratic function for different input values.,1,71,60,11,Functions,Interpreting Functions,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context. For example, given a function representing a car loan, determine the balance of the loan at different points in time."
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA308750,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-C.A.2,SR,GE,GEO.G-C.A.2,Use an inscribed right triangle to determine the circumference of a circle.,1,86,66,20,Geometry,"Similarity, Right Triangles, and Trigonometry","Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle."
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA728439252,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.B.6,SR,GE,GEO.G-CO.B.6,Identify transformations that would produce a congruent figure.,1,63,58,5,Geometry,Congruence," Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA281616,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.C.6,SA,AF,AI.A-REI.C.6,Solve for one variable in a system of linear equations algebraically.,1,62,56,6,Algebra,Reasoning with Equations and Inequalities,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA301428,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-SSE.A.2,SR,AF,AI.A-SSE.A.2,Factor a trinomial expression.,1,95,86,9,Algebra,Seeing Structure in Expressions,"Use the structure of an expression to identify ways to rewrite it. For example, see (x + 2)2 – 9 as a difference of squares that can be factored as ((x + 2) + 3)((x + 2 ) – 3)."
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA713459721,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.D.12,SA,AF,AI.A-REI.D.12,Graph the solution set of a linear inequality in two variables.,1,52,37,15,Algebra,Reasoning with Equations and Inequalities,"Graph the solutions of a linear inequality in two variables as a half-plane (excluding the boundary in the
case of a strict inequality), and graph the solution set of a system of linear inequalities in two variables
as the intersection of the corresponding half-planes."
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA274081,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-GPE.B.5,SR,GE,GEO.G-GPE.B.5,Identify an equation of a line perpendicular to a given line.,1,59,57,2,Geometry,Expressing Geometric Properties with Equations,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point)."
8,2019,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA298055,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.A.2,CR,NQ,AI.N-RN.A.2,Evaluate expressions involving radicals and rational exponents.,4,39,40,-1,Number and Quantity,The Real Number System,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA304304,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.S-ID.A.2,SR,SP,AI.S-ID.A.2,Compare measures of center and spread of two data sets.,1,71,61,10,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets."
