,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709069021,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Determine the effect of the repetition of a word using evidence from the passage.,1,65,53,12,Craft and Structure,Literature
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709236062,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Determine what event will happen next using evidence from the passage.,1,91,85,6,Key Ideas and Details,Literature
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709237264,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Determine the effect of figurative language in a passage.,1,95,86,9,Vocabulary Acquisition and Use,Literature
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709236521,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Identify the purpose of an author's use of literary techniques in a passage.,1,64,65,-1,Craft and Structure,Literature
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709237220,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about how mood is established in a passage.,1,81,72,9,Key Ideas and Details,Literature
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709236177,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the effect of the structure of a section in a passage.,1,76,72,4,Craft and Structure,Literature
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL712953695,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Identify evidence from the passage to make an inference about characters.,1,75,65,10,Key Ideas and Details,Literature
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709237137,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Identify sensory details and phrases used in a passage.,2,86,82,4,Craft and Structure,Literature
8,2019,9,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709229186,ES,-,-,Write a narrative describing what happens next in a passage.,7,35,47,-12,WR Combined (Conv/Idea Dev),Literature
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062113,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a similarity between characters in a passage and choose evidence that best supports the similarity.,2,71,69,2,Key Ideas and Details,Literature
10,2019,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062866,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a theme of a passage.,1,60,62,-2,Key Ideas and Details,Literature
11,2019,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062171,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Create a summary of a passage by placing key events in the correct order.,2,66,64,2,Key Ideas and Details,Literature
12,2019,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709068950,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify what a section of a poem shows about a character.,1,98,84,14,Craft and Structure,Literature
13,2019,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062438,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Determine the meaning of figurative language in a poem.,1,75,69,6,Vocabulary Acquisition and Use,Literature
14,2019,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062416,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a similarity between a character from a passage and a character from a poem.,1,75,69,6,Key Ideas and Details,Literature
15,2019,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709068976,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a difference between a character from a passage and a character from a poem.,1,83,80,3,Key Ideas and Details,Literature
16,2019,17,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL709062207,ES,-,-,Write an essay that explains how a character from a passage and a character from a poem have similar feelings; use important details from both texts as evidence.,7,34,39,-5,WR Combined (Conv/Idea Dev),Literature
17,2019,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL733939052,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,89,86,3,Vocabulary Acquisition and Use,Informational
18,2019,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL733940008,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Determine the motivation of an individual in a passage and select evidence from the passage that best supports the motivation.,2,94,84,10,Integration of Knowledge and Ideas,Informational
19,2019,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL624180157,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Determine how punctuation is used in a sentence.,1,53,54,-1,Conventions,Informational
20,2019,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL624175088,SR,RE,R.PK-12.1,Identify a statement with which the authors of a passage would agree.,1,67,68,-1,Key Ideas and Details,Informational
21,2019,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL624178677,SR,RE,R.PK-12.1,Identify how the authors develop an important idea in a passage.,1,74,72,2,Key Ideas and Details,Informational
22,2019,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL627148548,SR,RE,R.PK-12.5,Determine the purpose of a text feature used in a passage.,1,73,73,0,Craft and Structure,Informational
23,2019,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL733854336,SR,RE,R.PK-12.7,Determine how a text feature contributes to the understanding of an idea in a passage and choose evidence that best supports the idea.,2,57,50,7,Integration of Knowledge and Ideas,Informational
24,2019,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL624182427,ES,-,-,Write an essay that explains an important idea presented in a passage; use important details from the passage as evidence.,7,34,45,-11,WR Combined (Conv/Idea Dev),Informational
25,2019,LA9.CONV1,,,,ES,LA,,Essay 9 Language ( conventions ),3,46,57,-11,,Literature
26,2019,LA17.CONV2,,,,ES,LA,,Essay 17 Language ( conventions ),3,39,44,-5,,Literature
27,2019,LA25.CONV3,,,,ES,LA,,Essay 25 Language ( conventions ),3,41,53,-12,,Informational
28,2019,WR9.IDEA1,,,,ES,WR,,Essay 9 Writing ( idea development ),4,27,40,-13,,Literature
29,2019,WR17.IDEA2,,,,ES,WR,,Essay 17 Writing ( idea development ),4,30,35,-5,,Literature
30,2019,WR25.IDEA3,,,,ES,WR,,Essay 25 Writing ( idea development ),4,29,40,-11,,Informational
