,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description,Unit,Course
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA238611,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.2,SA,GE,5.G.A.2,Determine the coordinates of a point in the first quadrant that will create a rectangle when the first three points of the rectangle are given.,1,88,78,10,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA624344396,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.2,SA,OA,5.OA.A.2,Match numerical expressions that involve two operations with equivalent word expressions.,1,73,65,8,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Topic 13: Write and Interpret Numerical Expressions,Math
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306411,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,SA,NF,5.NF.B.6,Solve a real-world problem that involves multiplying a fraction by a mixed number.,1,48,33,15,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306457,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,CR,MD,5.MD.C.4,Determine the volume of right rectangular prisms by counting unit cubes and using volume to solve problems.,4,69,60,9,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA715102122,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SA,NT,5.NBT.A.4,Round decimals to the nearest hundredth.,1,35,41,-6,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA293830,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.2,SR,NF,5.NF.A.2,Estimate the sum of two fractions that are both less than one.,1,34,35,-1,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA311329,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SA,NT,5.NBT.A.2,Determine the quotient of a decimal and a power of ten.,1,16,31,-15,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA287252,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.B.3,SR,OA,5.OA.B.3,Determine which statement describes two given number patterns.,1,44,55,-11,Operations and Algebraic Thinking,Analyze patterns and relationships.,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
8,2019,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA715102268,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SA,NF,5.NF.B.4,Create a fraction model to represent the product of a fraction and a whole number.,1,58,67,-9,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306465,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.2,SR,GE,5.G.A.2,Interpret coordinate values of given points on a coordinate plane to solve a real-world problem.,1,69,80,-11,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
10,2019,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA280726,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.4,SR,GE,5.G.B.4,"Given drawings of shapes, determine which shape is a rhombus.",1,66,71,-5,Geometry,Classify two-dimensional figures into categories based on their properties.,Classify two-dimensional figures in a hierarchy based on properties.,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
11,2019,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA715102093,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Compare two decimals to the thousandths place.,1,92,88,4,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
12,2019,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA280511,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,CR,NT,5.NBT.B.5,Solve a problem involving multiplying whole numbers and estimating products of larger numbers.,4,42,44,-2,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
13,2019,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA298031,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SR,MD,5.MD.A.1,Solve a multi-step real-world word problem by converting milliliters to liters.,1,57,47,10,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
14,2019,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA715102321,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SA,MD,5.MD.B.2,Complete a line plot with given fractions and mixed numbers.,1,36,40,-4,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
15,2019,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA624358270,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SA,NF,5.NF.B.7,Solve real-world problems involving division of a whole number by a unit fraction and division of a unit fraction by a whole number.,2,59,51,8,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
