,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA307273,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.2,SR,RP,6.RP.A.2,"Given a real-world context, determine the unit rate.",1,93,88,5,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Understand the concept of a unit rate a/b associated with a ratio a:b with b not 0, and use rate language in the context of a ratio relationship, including the use of units."
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA703177181,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.8,SA,EE,6.EE.B.8,Graph the solution set of an inequality on a number line.,1,78,72,6,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA713739169,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.4,SR,GE,6.G.A.4,Create an expression that can be used to find the surface area of a net consisting of rectangles and triangles.,1,46,47,-1,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface areas of these figures. Apply these techniques in the context of solving real-world and mathematical problems."
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA311703,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.3,SR,GE,6.G.A.3,"Given the coordinates of the vertices of a triangle, determine the length of a side.",1,68,61,7,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.",Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA280690,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.C.9,SR,EE,6.EE.C.9,Analyze a graph to determine the unit rate in a real-world context.,1,75,66,9,Expressions and Equations,Represent and analyze quantitative relationships between dependent and independent variables.,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time."
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA272283,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.B.4,SR,NS,6.NS.B.4,"Given one factor, determine a possible product by using common factors and common multiples in a real-world context.",1,64,66,-2,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,"Use prime factorization to find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two relatively prime numbers. For example, express 36 + 8 as 4(9 + 2)."
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA713663381,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.2,SR,GE,6.G.A.2,Find the volumes of right rectangular prisms with fractional edge lengths by completely filling them with unit cubes.,1,39,37,2,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume."," Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems."
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA703251109,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.7,CR,EE,6.EE.B.7,Create and solve equations that represent a given real-world context.,4,74,66,8,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q, and x are all nonnegative rational numbers."
8,2019,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA301226,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.3,SR,RP,6.RP.A.3,Use ratios to solve a real-world problem involving a given rate.,1,84,68,16,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA251299,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.7,SR,NS,6.NS.C.7,"Using the context of improper fractions and decimals, determine which rational number is less than a given rational number.",1,71,64,7,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Understand ordering and absolute value of rational numbers.
