,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL285795,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context to determine the meaning of a word.,1,87,73,14,Vocabulary Acquisition and Use,Informational,,,,,,,,
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL285787,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how an event influenced an individual in a passage.,1,68,72,-4,Key Ideas and Details,Informational,,,,,,,,
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL723051363,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about an individual in a passage based on information from the passage.,1,77,69,8,Key Ideas and Details,Informational,,,,,,,,
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL718059830,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze how one idea influences another idea in a passage.,2,72,66,6,Key Ideas and Details,Informational,,,,,,,,
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL718150308,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how the author organizes a passage and provide supporting evidence from the passage.,2,62,56,6,Craft and Structure,Informational,,,,,,,,
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL729724758,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a central idea in a passage.,1,47,51,-4,Key Ideas and Details,Informational,,,,,,,,
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL722257627,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine the author’s purpose in a passage.,1,86,78,8,Craft and Structure,Informational,,,,,,,,
7,2019,8,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL285797,ES,-,-,Write an essay to explain the character traits of an individual in a passage; use information from the passage to support your explanation.,8,38,41,-3,WR Combined (Conv/Idea Dev),Informational,,,,,,,,
8,2019,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL714338029,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use context to determine the meaning of a word.,1,58,53,5,Vocabulary Acquisition and Use,Literature,,,,,,,,
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL71433887,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about a character in a passage based on information from the passage.,1,86,78,8,Key Ideas and Details,Literature,,,,,,,,
10,2019,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL714341461,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a central idea in a passage.,1,68,57,11,Key Ideas and Details,Literature,,,,,,,,
11,2019,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL714341617,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Analyze how the author develops a character’s point of view in a passage.,1,62,68,-6,Craft and Structure,Literature,,,,,,,,
12,2019,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL714343321,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Analyze how specific paragraphs help to develop a central idea in a passage.,1,46,49,-3,Key Ideas and Details,Literature,,,,,,,,
13,2019,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL719947920,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Analyze the qualities of a character in a passage and find evidence from the passage to support the answer.,2,53,51,2,Key Ideas and Details,Literature,,,,,,,,
14,2019,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL723042397,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify how specific paragraphs contribute to the structure of a passage.,2,87,80,7,Craft and Structure,Literature,,,,,,,,
15,2019,16,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL714343909,ES,-,-,Write a narrative that continues the story in a passage.,8,40,43,-3,WR Combined (Conv/Idea Dev),Literature,,,,,,,,
16,2019,17,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707803060,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how text features contribute to the development of an autobiographical poem.,1,67,64,3,Craft and Structure,Informational,,,,,,,,
17,2019,18,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707886390,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how the format of specific lines contributes to the meaning of an autobiographical poem.,1,66,62,4,Craft and Structure,Informational,,,,,,,,
18,2019,19,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707931806,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Identify figurative language in a poem.,1,63,57,6,Craft and Structure,Informational,,,,,,,,
19,2019,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707934528,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use Greek and Latin affixes and roots as clues to the meaning of a word.,1,64,49,15,Vocabulary Acquisition and Use,Informational,,,,,,,,
20,2019,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707931508,SR,RE,R.PK-12.9,Analyze the similar purposes of a poet writing an autobiographical poem and a poet writing a literary poem.,1,80,80,0,Integration of Knowledge and Ideas,Informational,,,,,,,,
21,2019,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL711859903,SR,RE,R.PK-12.2,Determine a theme of an autobiographical poem and find support for the theme in another poem.,2,92,78,14,Key Ideas and Details,Informational,,,,,,,,
22,2019,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707931187,SR,RE,R.PK-12.9,Identify a quality of a character in an autobiographical poem and a quality of a character in a literary poem.,2,57,56,1,Integration of Knowledge and Ideas,Informational,,,,,,,,
23,2019,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL707935717,ES,-,-,Write an essay to explain how two poems present information on a topic; use information from both poems to support your explanation.,8,48,51,-3,WR Combined (Conv/Idea Dev),Informational,,,,,,,,
24,2019,LA8.CONV1,,,,ES,LA,,Essay 8 Language ( conventions ),3,51,53,-2,,Informational,,,,,,,,
25,2019,LA16.CONV2,,,,ES,LA,,Essay 16 Language ( conventions ),3,52,54,-2,,Literature,,,,,,,,
26,2019,LA24.CONV3,,,,ES,LA,,Essay 24 Language ( conventions ),3,61,65,-4,,Informational,,,,,,,,
27,2019,WR8.IDEA1,,,,ES,WR,,Essay 8 Writing ( idea development ),5,31,33,-2,,Informational,,,,,,,,
28,2019,WR16.IDEA2,,,,ES,WR,,Essay 16 Writing ( idea development ),5,33,36,-3,,Literature,,,,,,,,
29,2019,WR24.IDEA3,,,,ES,WR,,Essay 24 Writing ( idea development ),5,39,43,-4,,Informational,,,,,,,,
30,2021,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807437999,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how details in a specific paragraph contribute to the overall meaning in a passage.,1,55,49,6,Craft and Structure,Literature,,,,,,,,
31,2021,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807438350,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Analyze how an author reveals a character in specific sections of a passage.,1,53,50,3,Craft and Structure,Literature,,,,,,,,
32,2021,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807443094,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Analyze the contrasting points of view of two characters in a passage.,1,95,83,12,Craft and Structure,Literature,,,,,,,,
33,2021,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807443512,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,85,81,4,Vocabulary Acquisition and Use,Literature,,,,,,,,
34,2021,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807439180,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Select evidence to support an inference about a character in a passage.,1,68,60,8,Key Ideas and Details,Literature,,,,,,,,
35,2021,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807443849,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a central idea in a passage and select evidence for support.,2,60,48,12,Key Ideas and Details,Literature,,,,,,,,
36,2021,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807432481,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference based on details from a passage.,1,55,61,-6,Key Ideas and Details,Literature,,,,,,,,
37,2021,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807433511,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Use a dictionary entry to determine the meaning of a multiple-meaning word in context.,1,90,70,20,Vocabulary Acquisition and Use,Literature,,,,,,,,
38,2021,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807434187,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine what the words and actions of a character reveal about the character and select evidence from the passage for support.,2,55,50,5,Key Ideas and Details,Literature,,,,,,,,
39,2021,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807435581,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Analyze the development of a character's attitude over the course of a passage.,1,90,77,13,Key Ideas and Details,Literature,,,,,,,,
40,2021,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807445116,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Analyze how two authors use a similar literary technique to develop the setting in two passages.,1,50,56,-6,Craft and Structure,Literature,,,,,,,,
41,2021,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807445842,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the shared central idea of two passages.,1,40,53,-13,Key Ideas and Details,Literature,,,,,,,,
42,2021,13,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL807456720,ES,-,-,Write an essay that explains how a specific event in two passages helps to reveal important traits of the main characters; use information from both passages to support your explanation.,8,39,36,3,WR Combined (Conv/Idea Dev),Literature,,,,,,,,
43,2021,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL307948,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference based on information from a poem.,1,51,55,-4,Key Ideas and Details,Literature,,,,,,,,
44,2021,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL307962,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Analyze figurative language in a poem.,1,73,73,0,Vocabulary Acquisition and Use,Literature,,,,,,,,
45,2021,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%207&view=ALL&itemUIN=EL307963,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Analyze how lines in a poem help to reveal characters' attitudes.,1,56,50,6,Craft and Structure,Literature,,,,,,,,
