,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Standard Description
0,2019,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA302315,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.RP.A.1,SR,RP,7.RP.A.1,Determine the unit rate using fractions and whole numbers to solve a real-world problem.,1,85,76,9,Ratios and Proportional Relationships,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas, and other quantities measured in like or different units. For example, if a person walks ½ mile in each ¼ hour, compute the unit rate as the complex fraction ½ ∕¼ miles per hour, equivalently 2 miles per hour."
1,2019,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA306606,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.NS.A.2,SA,NS,7.NS.A.2,Determine the product of an expression using order of operations.,1,79,62,17,The Number System,Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide integers and other rational numbers.
2,2019,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA298218,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.SP.A.2,SR,SP,7.SP.A.2,Use a given two-way table containing data from two populations to determine the probability of an event.,1,82,58,24,Statistics and Probability,"Use data from a random sample to draw inferences about a population with an unknown characteristic
of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in
estimates or predictions. For example, estimate the mean word length in a book by randomly sampling words from the book; predict the winner of a school election based on randomly sampled survey data. Gauge how far off the estimate or prediction might be."
3,2019,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA302339,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.RP.A.2,CR,RP,7.RP.A.2,Determine whether the graphed relationship is proportional; use rate and ratio language to analyze the relationship; and write an equation to describe a proportional relationship.,4,75,62,13,Ratios and Proportional Relationships,Recognize and represent proportional relationships between quantities.
4,2019,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA272149,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.NS.A.2,SR,NS,7.NS.A.2,Determine the quotient when dividing a decimal number by a decimal number that has a value less than one.,1,59,55,4,The Number System,Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide integers and other rational numbers.
5,2019,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA311091,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.NS.A.3,SR,NS,7.NS.A.3,Use the four operations to determine the value of a given multi-step expression containing fractions.,1,45,47,-2,The Number System,Solve real-world and mathematical problems involving the four operations with integers and other rational numbers.2
6,2019,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA703873828,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.NS.A.3,SR,NS,7.NS.A.3,Compute with rational numbers representing temperature changes in a real-world context.,1,54,45,9,The Number System,Solve real-world and mathematical problems involving the four operations with integers and other rational numbers.2
7,2019,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA302320,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.G.A.3,SR,GE,7.G.A.3,Determine which two-dimensional figure results from slicing a three-dimensional figure in a given way.,1,73,73,0,Geometry,"Describe the shape of the two-dimensional face of the figure that results from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids."
8,2019,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA713848101,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.EE.B.3,SA,EE,7.EE.B.3,"Solve a multi-step real-life problem posed with a positive whole number, percent, and a fraction.",1,38,30,8,Expressions and Equations,"Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies. For example, if a woman making $25 an hour gets a 10% raise, she will make an additional 1 ∕10 of her salary an hour, or $2.50, for a new salary of $27.50. If you want to place a towel bar 9¾ inches long in the center of a door that is 27½ inches wide, you will need to place the bar about 9 inches from each edge; This estimate can be used as a check on the exact computation."
9,2019,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%207&view=ALL&itemUIN=MA208761,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=7.NS.A.1,SA,NS,7.NS.A.1,Determine the sum of two numbers expressed as absolute values.,1,77,58,19,The Number System,Apply and extend previous understandings of addition and subtraction to add and subtract integers and other rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.
